"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order","lake"
4776,11738999,2114,7.68963741701061,0.284349954193681,2169900,0.005,10,0.1,"11738981,11738979",2,0
4831,11739037,2294,7.65300084891094,0.283400943667275,2382300,0.005,10,0.1,"11739013,11739011",3,0
4821,11739057,2475,8.39339225830405,0.302325878110395,2913300,0.005,10,0.1,"11739037,11739035",3,0
4806,11739087,4810,8.16999388682696,0.29667043682271,9254700,0.005,10,0.1,"11739103,11739093",2,0
4487,11738293,950,3.24748129244309,0.155525540573201,862200,0.005,10,0.1,"11739147",1,0
3390,11742517,36,6.01628487652244,0.239468797613666,1800,0.005,10,0.1,"11742519,11734655",2,0
137,11748043,3359,13.5149132238543,0.421976574240313,13551300,0.005,10,0.1,"11747809",1,0
231,11747847,636,8.45995332560489,0.304002136549618,971100,0.005,10,0.1,"11747863,11747851",2,0
619,11747899,1338,10.7810077331079,0.360230606479195,1088100,0.005,10,0.1,"11747889,11747895",2,0
618,11747931,1625,12.029610150159,0.388951227283749,1365300,0.005,10,0.1,"11747899,11747897",2,0
226,11747925,1986,8.06427762019814,0.293978038750721,2502000,0.005,10,0.1,"11747919,11747909",2,0
1172,11748051,13,8.06427762019814,0.293978038750721,0,0.005,10,0.1,"11747925",2,0
616,11747951,2240,13.0394291313787,0.411528638887984,1496700,0.005,10,0.1,"11747939,11747931",2,0
615,11747981,1646,13.9403899853488,0.431232521032474,2786400,0.005,10,0.1,"11747951,11747953",2,0
1153,11748091,919,14.0623513806164,0.433869999073791,801900,0.005,10,0.1,"11747981",2,0
281,11748007,1694,9.5791008695892,0.331624326905845,991800,0.005,10,0.1,"11747993",2,0
120,11748015,112,17.3054798479669,0.501704054924569,29700,0.005,10,0.1,"11748009,11748007",3,0
119,11748711,4143,18.1724121236198,0.519167936870397,9984600,0.005,10,0.1,"11748015",3,0
136,11747813,203,13.5378063705974,0.422476802624088,91800,0.005,10,0.1,"11748043",1,0
1171,11748053,402,8.1241756195377,0.295504821324207,217800,0.005,10,0.1,"11748051",2,0
